street,overture_n,fsq_n,A_overture_matched,A_fsq_matched,B_overture_matched,B_fsq_matched,C_overture_matched,C_fsq_matched
"Road 9, Maadi",67,58,11,11,62,54,20,22
"El Shabab Street, Sheikh Zayed",159,108,21,21,144,97,44,41
"90th Street, New Cairo",270,118,23,23,85,108,34,35
