governorate,rows,c1_collapse_records,c1_pct,c2_dup_pairs,c2_pct_rows_involved,c3_non_storefront,c3_pct
Alexandria,44120,2704,6.13,3431,15.55,2329,5.28
Cairo,144638,10316,7.13,14241,19.69,11390,7.87
Giza,60746,3261,5.37,3868,12.73,4367,7.19
Qalyubiya,15941,1247,7.82,651,8.17,598,3.75
