district,saturation,open_buildings_pct,ghsl_pct,ratio
Sheikh Zayed,DEVELOPING,13.13,23.09,0.57
Maadi,SATURATED,23.02,40.0,0.58
Imbaba,SATURATED,56.88,43.56,1.31
