name_overture,name_fsq,sim,distance_m,street
Cilantro Downtown,Cilantro,1.0,6.5,90th Street (New Cairo)
Cairo Ad School,Cairo Ad School,1.0,8.8,90th Street (New Cairo)
Burberry,Burberry,1.0,13.5,90th Street (New Cairo)
Aroma Lounge,Aroma Lounge,1.0,22.9,90th Street (New Cairo)
Salvatore Ferragamo,Salvatore Ferragamo,1.0,32.2,90th Street (New Cairo)
Buffalo Burger - Downtown Mall,Buffalo Burger,1.0,34.4,90th Street (New Cairo)
Etisalat Downtown Katameya,dowon tawon,1.0,35.0,90th Street (New Cairo)
QNB Alahli,QNB Al Ahli | بنك قطر الوطني الأهلي,1.0,43.4,90th Street (New Cairo)
Krispy Kreme,Krispy Kreme,1.0,46.5,90th Street (New Cairo)
House of Cocoa,House of Cocoa,1.0,48.7,90th Street (New Cairo)
Procter & Gamble,Procter & Gamble PSC,1.0,53.2,90th Street (New Cairo)
Sugar Gift Shops,Sugar Gift Shops,1.0,53.9,90th Street (New Cairo)
Mondelez Egypt,Mondelez Egypt,1.0,59.2,90th Street (New Cairo)
900 Degrees,900 Degrees,1.0,64.8,90th Street (New Cairo)
El Sit Hosneya,El Set Hosniah | الست حسنية,1.0,71.9,90th Street (New Cairo)
Ralph Lauren,Polo Ralph Lauren,1.0,73.0,90th Street (New Cairo)
Starbucks,starbucks ( ستاربكس ),1.0,105.4,90th Street (New Cairo)
